,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,28,80,2.11,3.03,5.45,1.2,11.8,0.41,14.46,0,,,,97.26,0.42,260.67,,,0
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,20.42,57.46,2.13,2.7,5.16,1.08,11.69,0.33,12.05,0,,,,89.19,1.03,174.13,,,0
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,23.21,58,2.15,2.72,5.19,1.06,12.35,0.33,12.11,0,,,,85.45,1.01,180.97,,,0
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,21.69,42.29,2.14,2.68,5.12,1.09,13.44,0.33,12.86,0,,,,88.88,0.99,166.13,,,0
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,18.69,46.5,2.15,2.67,5.13,1.09,13.64,0.31,12.4,0,,,,87.43,0.98,169.71,,,0
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,18.82,42.88,2.1,2.75,5.14,1.09,13.74,0.31,14.74,0,,,,88.3,1.19,167.89,,,0
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,17.56,44.81,2.18,2.57,5.09,1.08,11.8,0.29,11.09,0,,,,91.19,1.15,194.19,,,0.01
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,19.98,54.79,2.16,2.74,5.24,1.06,11.91,0.34,10.85,0,,,,92.53,0.99,175.66,,,0
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,17.85,43.48,2.2,2.59,5.15,1.08,11.98,0.37,9.81,0,,,,96.67,0.84,174.05,,,0
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,21.27,41.76,2.15,2.67,5.15,1.09,12,0.37,10.34,0,,,,97.36,0.86,182.79,,,0
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,15.24,58.79,2.18,2.65,5.19,1.04,12.19,0.32,8.79,0,,,,93.07,0.82,182.15,,,0
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,14.09,37.62,2.17,2.71,5.23,1.07,12,0.31,8.93,0,,,,94.03,0.82,146.99,,,0
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,20.47,53.12,2.19,2.67,5.2,1.06,12.13,0.35,10.11,0,,,,93.4,0.83,166.19,,,0
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,22.67,39.3,2.18,2.64,5.17,1.04,12.06,0.4,10.73,0,,,,80.28,0.76,107.06,,,0
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,17.28,29.72,2.11,2.66,5.09,1.07,12.04,0.32,9.51,0,,,,80.15,0.87,109.9,,,0
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,61.65,37.05,2.18,2.61,5.1,1.09,12.27,0.34,9.74,0,,,,84.77,1.13,146.85,,,0
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,14.49,43.17,2.17,2.64,5.16,1.07,12.38,0.3,10.69,0,,,,79.4,1.89,124.1,,,0
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,10.06,22.08,2.13,2.73,5.17,1.07,12.16,0.24,9.82,0,,,,73,2.82,86.99,,,0
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,13.72,24.25,2.18,2.63,5.16,1.07,12.35,0.29,9.94,0,,,,83.43,2.18,107.98,,,0
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,178.04,15.27,2.13,2.65,1.81,1.05,12.93,0.12,8.88,0,,,,96.46,0.98,137.45,,,0
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,10.99,19.66,2.17,2.64,5.16,1.06,12.67,0.35,5.9,0,,,,94.39,0.8,176.58,93.16,,0
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,12.65,41.59,2.16,2.61,5.12,1.08,12.99,0.36,5.92,0,,,,91.68,0.83,152.14,114.33,,0
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,20.88,57.88,2.16,2.66,5.16,1.1,12.79,0.37,5.98,0,,,,92.52,0.99,132.51,82.67,,0
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,10.96,40.13,2.14,2.71,5.19,1.1,12.87,0.33,6,0,,,,92.5,0.98,144.91,94.65,,0
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,11.36,36.57,2.13,2.67,5.13,1.1,12.72,0.28,6.09,0,,,,89.49,0.81,203.35,148.59,,0
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,9.72,32.86,2.16,2.65,5.15,1.1,13.08,0.32,6.79,0,,,,94.91,0.9,175.26,102.51,,0
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,15.73,74.74,2.17,2.61,5.13,1.06,13.55,0.35,6.08,0,,,,89.09,1.11,181.69,191.98,,0
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,17.4,68.92,2.17,2.66,5.18,1.03,13.41,0.39,6.06,0,,,,90.13,1.05,160.84,207.18,,0
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,15.03,37.26,2.16,2.65,5.15,1.07,13.69,0.37,6.23,0,,,,91.15,1.08,179.41,148.53,,0.01
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,16.17,34.5,2.13,2.69,5.15,1.04,13.63,0.38,6.44,0,,,,90.86,1.06,196.5,145.69,,0
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,18.27,52.04,2.2,2.63,5.19,1.06,13.85,0.39,6.35,0,,,,90.89,0.84,198.82,152.63,,0
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,14.2,35.06,2.15,2.67,5.16,1.11,13.64,0.38,6.17,0,,,,91.91,0.93,199.17,158.83,,0.01
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,13.61,27.09,2.18,2.64,5.16,1.07,13.45,0.37,6.37,0,,,,91.33,0.95,185.05,181.5,,0
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,18.1,27.42,2.18,2.71,5.2,1.08,13.37,0.43,6.16,0,,,,97.62,0.73,170.24,76.44,,0
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,17.74,48.21,2.16,2.61,5.12,1.1,13.37,0.41,6.13,0,,,,94.8,0.77,168.37,95.85,,0
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,20.97,62.46,2.18,2.66,5.19,1.07,13.53,0.4,6.06,0,,,,92.95,1.1,194.52,146.59,,0
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,20.14,67.25,2.17,2.71,5.22,1.07,13.74,0.42,6.12,0,,,,91.31,0.94,194.59,160.11,,0
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,57.59,70.78,6.1,2.58,10.03,3.04,14.58,0.4,6.37,0,,,,87.83,1.09,189.82,148.18,,0
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,20.54,85.04,2.18,2.64,5.16,1.07,13.73,0.43,5.77,0,,,,86.59,0.83,173.5,148.99,,0
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,14.09,52.98,2.19,2.62,5.17,1.09,13.92,0.44,6.2,0,,,,88.45,1.06,190.77,188.5,,0
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,20.99,72.17,2.17,2.59,5.11,1.09,14.27,0.47,6.12,0,,,,84.98,0.93,190.6,166.11,,0
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,18.78,50.08,2.12,2.76,5.2,1.09,14.3,0.47,6.3,0,,,,88.63,1,200.58,164.47,,0
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,16.68,47.91,2.15,2.64,5.14,1.1,14.62,0.39,6.55,0,,,,85.98,0.99,202.16,222,,0
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,19.7,57.96,2.18,2.64,5.17,1.07,14.46,0.4,7.51,0,,,,88,1.24,170.8,184.65,,0
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,23.9,77.83,2.18,2.67,5.2,1.06,14.48,0.44,6.27,0,,,,83.13,0.99,187.95,174.5,,0
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,20.29,46.58,2.16,2.66,5.16,1.08,14.22,0.38,6.32,0,,,,82.08,1.02,182.68,134.41,,0
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,19.18,36.78,2.15,2.7,5.18,1.09,15.18,0.46,9.36,0,,,,92.88,0.97,173.27,60.04,,0
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,24.58,105.06,2.17,2.64,5.15,1.52,14.4,0.5,7.3,0.07,,,0.04,88.36,0.85,201.9,111.18,,0
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,24.02,86.66,2.13,2.66,4.93,2,13.88,0.52,7.17,0.17,,0.02,0.14,93.2,0.8,176.43,93.85,,0
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,19.13,42.4,2.14,2.64,5.12,2.02,13.69,0.41,7.73,0.15,,,0.17,97.09,1.45,148.01,87.13,,0
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,17.77,20.03,2.19,2.66,5.19,2,13.51,0.36,7.57,0.1,,,0.13,99.37,1.25,103.81,48.55,,0.03
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,21.14,28.77,2.19,2.67,5.2,2,13.42,0.45,6.52,0.12,,0.04,0.17,100,1.51,134.98,54.88,,0.08
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,14.45,52.57,2.16,2.66,5.15,2.02,13.39,0.41,6.52,0.11,,0.01,0.21,87.81,0.96,160.61,175.58,,0
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,19.3,66.67,2.15,2.69,5.18,2.02,13.67,0.4,6.82,0.1,,0.02,0.2,86.83,0.93,205.64,163.19,,0
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,24.25,66.95,2.14,2.68,5.16,2.01,14.03,0.41,6.8,0.1,,,0.19,87.24,1.05,172.03,153.93,,0
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,20.15,55.48,4.94,2.79,5.11,4.97,14.09,0.42,7.34,0.08,,,0.16,86.14,1.19,160.68,171.78,,0
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,21.24,67.73,2.14,2.69,5.16,2.01,14.01,0.4,6.88,0.1,,0.02,0.19,78.81,1.27,165.04,223.46,,0
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,18.9,50.59,2.14,2.68,5.16,2.01,13.76,0.34,6.66,0.07,,,0.17,71.97,1.57,131.74,237.44,,0
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,19.07,32.27,3.01,2.66,6.21,2.45,13.69,0.39,6.58,0.06,,,0.09,91.4,1.29,103.72,68.47,,0.25
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,20.52,26.54,2.17,2.64,5.16,2.01,13.75,0.42,5.91,0,,,,97.54,0.77,168.42,70.39,,0.04
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,15.22,19.86,2.17,2.68,5.19,2.01,13.87,0.44,5.9,0,,,,98.62,0.81,151.95,62.06,,0.09
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,21.75,102,2.15,2.63,5.13,2.04,14.1,0.39,6.21,0,,,,90.96,0.95,213.21,123.14,,0
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,25.33,106.04,2.13,2.69,5.16,2.01,14.08,0.44,6.4,0,,,,87.84,0.84,187.5,156.11,,0
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,38.29,113.92,2.17,2.66,5.18,2.02,14.17,0.45,6.88,0,,,,83.95,1.11,186.63,193.37,,0
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,48.1,114.07,4.04,2.65,7.64,3.18,14.13,0.5,7.29,0,,,,83.07,1.2,166.76,209.39,,0
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,24.84,73.2,7.02,2.66,5.08,4.96,14.14,0.36,7.82,0,,,,60.44,1.51,177.64,263.39,,0
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,18.38,46.25,2.18,2.63,5.16,1.99,14.24,0.32,7.26,0,,,,66.76,1.4,157.74,275.92,,0
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,17.83,55.71,2.17,2.63,5.15,2.01,14.25,0.32,7.75,0,,,,60.55,1.51,146.51,279.85,,0
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,21.71,69.67,2.16,2.64,5.14,2.02,14.22,0.36,8.62,0,,,,56.95,1.44,156.79,258.41,,0
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,26.08,89.67,2.19,2.71,5.24,1.99,14.66,0.45,7.55,0,,,,68.38,0.87,181.98,253.96,,0
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,21.56,67.28,2.13,2.69,5.14,2,14.58,0.4,10.57,0,,,,59.22,1.25,165.77,261.94,,0
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,22.63,68.06,4.22,2.64,7.82,3.32,14.45,0.39,9.07,0,,,,60.4,1.4,154.6,247.91,,0
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,22.84,70.02,6.69,2.71,5.07,4.47,14.42,0.42,6.98,0,,,,48.59,1.12,153.94,259.76,,0
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,11.89,28.32,6.85,2.69,5.08,5.13,14.46,0.31,6.67,0,,,,47.7,1.28,153.55,282.37,,0
